nameOrig,oldbalanceOrg,nameDest,oldbalanceDest
C843299092,0.0,C1590550415,5195482.15
C605982374,0.0,C1225616405,40255.0
C1412322831,15443.0,M1651262695,0.0
C1305004711,3763.0,M494077446,0.0
C1003206025,19869.0,M989889899,0.0
C806813022,71636.0,M902860396,0.0
C1406206626,83084.0,M1816522350,0.0
C1799230133,204237.0,M1521238608,0.0
C20156341,26304.0,M1111897955,0.0
C1509309988,182.0,M1643141512,0.0
C2091072548,0.0,C1282788025,51744.0
C263053820,0.0,C1870252780,104209.0
C1740826931,0.0,C97730845,67684.0
C69062746,0.0,C100555887,52679.0
C1631227617,0.0,C1983747920,121112.0
C24650043,0.0,C736709391,259813.0
C1896074070,0.0,C401424608,429747.0
C460741164,0.0,C1590550415,5776776.41
C781091365,0.0,C985934102,260976.0
C1858015030,20925.0,M25764044,0.0
C671596011,41903.46,M1925352804,0.0
C1687354037,38197.63,C33524623,499962.0
C743778731,144478.0,C575335780,295.0
C967323951,41398.0,M1600594643,0.0
C743648472,14078.0,M692998280,0.0
C1368862151,69836.0,C20671747,12040.0
C922807452,29941.0,M33563464,0.0
C1494346128,103657.0,C564160838,79676.0
C822087264,11450.0,M30699728,0.0
C38603201,81313.0,M1422273905,0.0
C1694784135,18138.0,C801197928,11054.0
C1207231495,9476.0,M756936249,0.0
C1221981006,36380.0,M264394929,0.0
C1878413714,50757.0,M769132147,0.0
C1257299717,61663.0,M1474957626,0.0
C181252244,61637.88,M1733022752,0.0
C722417467,290.0,C451111351,171866.0
C753631393,23720.0,C716157500,55.0
C1262869688,236997.0,M1914108708,0.0
C544386226,257978.49,M1357700757,0.0
C900298796,257733.62,M1889757798,0.0
C1166106620,20509.0,M1932470703,0.0
C221861886,24866.0,M1713568869,0.0
C697508322,39588.0,C1688019098,52340.0
C603658030,117811.0,M1689924104,0.0
C361380654,100094.0,M631673932,0.0
C1579132337,2565.0,C1321640594,21185.0
C1795225096,40060.0,M790094605,0.0
C1048712791,60829.0,M487792155,0.0
C1909398279,31139.0,M1632670136,0.0
C1338905451,28112.02,C1170794006,975121.0
C1252540239,259138.0,C1509514333,608925.82
C1136005694,31213.0,M638486177,0.0
C426019904,80030.0,M314411620,0.0
C1642679791,79563.03,C564160838,410433.04
C855700733,0.0,C392292416,833216.44
C247162961,0.0,C1297685781,215457.59
C1890266440,0.0,C1297685781,299314.82
C1527152775,0.0,C747464370,190573.0
C1863655430,0.0,C1509514333,612801.81
C976827477,0.0,C1590550415,5862200.03
C324112183,0.0,C288665596,105343.0
C2092709730,0.0,C1749186397,182538.03
C980364771,0.0,C453211571,187433.0
C1233595751,0.0,C757108857,83244.0
C1446001495,0.0,C1023714065,871442.79
C1261044180,0.0,C401424608,641975.35
C141110631,0.0,C240650537,51304.0
C2029372696,0.0,C1971489295,249452.05
C793293778,0.0,C766572210,1133312.56
C888611662,0.0,C401424608,909124.16
C1966355106,0.0,C476800120,215312.31
C599782425,0.0,C1209271652,145400.0
C1233327519,0.0,C2083562754,189808.0
C1155769010,0.0,C557041912,80341.0
C269892014,0.0,C1590550415,6048647.54
C1280641161,0.0,C1435804085,44853.0
C489411441,0.0,C736709391,435962.9
C1141113940,0.0,C240650537,99217.58
C1711185459,0.0,C1854778591,24553.0
C25936709,0.0,C885951223,60169.0
C1123559518,0.0,C1590550415,6093090.62
C649769713,0.0,C1060830840,49161.0
C925150995,0.0,C920011586,63553.0
C1760219993,0.0,C1360767589,203679.0
C1800649922,0.0,C824009085,127206.9
C403547747,0.0,C1531333864,292728.0
C172215878,0.0,C434091818,87408.0
C873309260,0.0,C1023714065,1161088.31
C1112456099,0.0,C1225616405,52251.58
C923083575,0.0,C1504109395,9471.0
C589363823,0.0,C1531333864,404814.81
C2052457859,0.0,C985934102,272624.5
C1299327689,0.0,C564160838,564572.76
C1408279755,0.0,C453211571,342149.2
C2007486296,0.0,C932583850,317952.89
C1033348658,0.0,C1971489295,443057.43
C1634723627,0.0,C2083562754,278846.75
C938463537,0.0,C985934102,464326.57
C2121995675,0.0,C1170794006,1442298.03
C2120063568,0.0,C1740000325,154606.0
C1620409359,0.0,C248609774,657983.89
C691691381,0.0,C453211571,544481.28
C264978436,0.0,C1360767589,394124.51
C500618423,0.0,C451111351,851368.24
C1458091526,0.0,C747464370,378299.67
C768776793,0.0,C796533847,100585.0
C2018260103,0.0,C240650537,157012.19
C1393828949,0.0,C357863579,105362.0
C1088417975,0.0,C401424608,1078534.03
C2036775591,0.0,C757108857,136875.83
C1620529408,0.0,C1688019098,237326.8
C307488715,0.0,C1789550256,444779.0
C758572926,0.0,C476402209,234216.94
C1640612861,0.0,C985934102,553161.42
C990679445,0.0,C557041912,81682.58
C913065088,0.0,C401424608,1241634.38
C746280996,0.0,C1360767589,581853.1
C50503805,0.0,C747464370,701404.75
C1557989809,0.0,C33524623,919763.4
C146874094,0.0,C1297685781,398424.59
C2123222442,0.0,C451111351,1122370.94
C1746570062,8258.0,M1555990397,0.0
C1544078442,97058.0,M1291367132,0.0
C1887699190,290.0,M1479140596,0.0
C1108889615,99827.0,M1275028674,0.0
C455888635,92119.56,M204805934,0.0
C204322447,132329.0,M1019484860,0.0
C1164365897,51718.0,M1640899500,0.0
C3565780,20421.0,M473666452,0.0
C1865219266,228.0,M2138005960,0.0
C1278002745,107388.0,C510113906,19053.0
C214649627,102397.0,M67730604,0.0
C15477956,6032.0,M710623214,0.0
C2082351661,2101.19,C1810132623,74956.0
C859690270,0.0,C476402209,340334.22
C1389774257,0.0,C1096283470,349763.0
C553759818,0.0,C75457651,253053.0
C751021317,152927.0,M1896552614,0.0
C294658299,10676.0,M1033856359,0.0
C201677908,11110.0,C451111351,1293740.67
C635611994,11150.0,M904253669,0.0
C1930903395,7541.59,M1431710377,0.0
C1700721442,42133.0,M2116511124,0.0
C872522004,65254.0,M1348916831,0.0
C1110698130,6313782.05,M125644421,0.0
C1053632127,6309146.87,M1493158871,0.0
C89509666,6307878.9,M1806880779,0.0
C1016856028,6300966.92,M446445803,0.0
C832292933,6299171.25,M1280603381,0.0
C792855998,6295972.18,M1424108509,0.0
C1003755748,25480.0,M1414013111,0.0
C1805164661,50747.0,M778162712,0.0
C896138248,25132.0,M548482954,0.0
C243575009,10382.0,M777341499,0.0
C1420196421,2806.0,C972765878,0.0
C2101527076,2806.0,C1007251739,26202.0
C1454026445,624.0,M1378497201,0.0
C892931811,11128.0,M1577167234,0.0
C1574873161,396386.0,M1591916281,0.0
C600958416,319.0,M1884231057,0.0
C1492875057,27105.0,M333793193,0.0
C1068945248,21867.46,M937277082,0.0
C882646447,12076.0,M234740890,0.0
C79290250,100068.0,C1076835071,26446.0
C1586151649,17540.0,M179294202,0.0
C1767230265,81.0,M593103894,0.0
C727666004,16392.0,M1601935322,0.0
C414225167,10708.0,M1803093683,0.0
C975033189,943.0,M962287291,0.0
C628064884,0.0,M109069556,0.0
C1389509050,87005.0,M828326869,0.0
C1761217448,50361.0,M1817789863,0.0
C788905599,11137.0,M1678709153,0.0
C1544614339,2188.97,C1297685781,462914.23
C2059592603,13727.0,M2016828666,0.0
C1688782916,12642.1,M1064154107,0.0
C1390301622,3185.41,M415565467,0.0
C973936431,46547.0,C1335050193,72793.0
C1756207614,4511.0,M1214133948,0.0
C2015301874,1776.23,C1335050193,230676.07
C712627377,15479.0,M782228073,0.0
C399373008,15629.0,M391506011,0.0
C1936550492,9515.86,C1789550256,518243.06
C594651850,0.0,C75457651,285755.61
C1532139270,0.0,C920011586,93337.06
C1677568775,0.0,C1740000325,191043.06
C2069500590,0.0,C2083562754,457286.01
C1431556341,0.0,C1740000325,308020.64
C452364286,0.0,C985934102,1056495.21
C350069300,0.0,C1335050193,332829.93
C1060703587,0.0,C757108857,272906.49
C1957078537,0.0,C1360767589,608612.15
C1514214932,0.0,C1590550415,6285707.02
C594858858,0.0,C1360767589,1107573.06
C1423016050,52951.0,M352776719,0.0
C1202042637,9516.0,M1112527632,0.0
C440736059,49905.0,M955324150,0.0
C1384563514,25138.0,M1852661033,0.0
C1548946718,19448.0,M1814423236,0.0
C140404585,18454.54,C1688019098,306239.03
C207546206,10892.0,M1218519094,0.0
C200404000,4186.0,M1894758168,0.0
C191945292,126.75,M1242688388,0.0
C1317375498,147798.0,C665576141,1534657.01
C1130346421,7781.0,M1316005672,0.0
C192428201,3509.0,C401424608,1333014.31
C1768882706,14508.0,M1463022229,0.0
C472991420,1449076.27,M1455855843,0.0
C1202220987,1445223.63,M256346753,0.0
C425015667,11197.0,C466505482,51885.0
C2075568954,10107.0,M2145896000,0.0
C1279740095,21448.0,C1750905143,61613.0
C2095677157,0.0,M852026681,0.0
C1943855334,102983.0,M94919826,0.0
C847320212,10958.0,M1201004240,0.0
C1406848276,8827.7,M349259569,0.0
C785306763,1056.3,M1204088028,0.0
C1123236701,0.0,M1552221437,0.0
C79161706,0.0,M1685407532,0.0
C1057468716,0.0,M1272051933,0.0
C1888924788,0.0,M1041547629,0.0
C1016633682,0.0,M2018220300,0.0
C1027319653,0.0,M633079302,0.0
C1561745898,0.0,M2033268925,0.0
C424786033,0.0,M1545077099,0.0
C867093003,0.0,M1135278099,0.0
C1470911015,0.0,M1268974304,0.0
C244872973,0.0,M451312813,0.0
C795748540,0.0,M2081000371,0.0
C837073696,11876.0,C655381473,24777.0
C416201381,17319.0,M1178290888,0.0
C1985938863,10782.14,C1291286504,49530.0
C1660325375,31516.0,M251664534,0.0
C334593716,0.0,C485041780,185432.0
C487416600,0.0,C476800120,241106.05
C1271041075,36605.0,M1141500277,0.0
C1544895390,48117.0,M712410791,0.0
C1971991758,36030.0,M2126723403,0.0
C201274566,30265.0,C747464370,829892.09
C354605216,734899.0,M824881806,0.0
C1447353473,7215.0,C20671747,12904.68
C611289995,0.0,M663466110,0.0
C1129433283,0.0,M864138492,0.0
C1810518740,0.0,M295180183,0.0
C1547883191,762.0,M1650113431,0.0
C1528769018,58697.54,M183155105,0.0
C1089930529,56087.54,M2001115307,0.0
C1429483328,1132.0,M172794870,0.0
C1927963027,24.0,C1234776885,11361.0
C833240229,135496.0,C1330106945,100614.05
C1167088639,24553.0,M707531688,0.0
C191568263,14332.0,M1799635803,0.0
C751608431,11558.39,M1723290893,0.0
C893640573,7661.97,M2085886997,0.0
C893523498,17710.0,M1770070706,0.0
C1108517064,11049.67,C1983747920,199404.91
C511354923,0.0,C1899073220,75514.0
C992743048,0.0,C1749186397,321592.98
C1540894701,0.0,C564160838,930082.81
C203149502,0.0,C1531333864,701567.56
C1198197478,0.0,C453211571,883248.39
C476579021,0.0,C1590550415,6977445.38
C106297322,0.0,C1590550415,8515645.77
C1419332030,0.0,C665576141,1538085.96
C1262110193,0.0,C1789550256,888232.25
C396918327,0.0,C1590550415,10937223.86
C1055601039,0.0,C1359044626,1437353.34
C547441493,0.0,C1531333864,802245.42
C967677821,0.0,C451111351,1773963.18
C1839206329,46132.0,C998351292,88106.55
C169880779,45136.0,C1286084959,1251626.46
C552674617,0.0,C909295153,199733.0
C1974622245,0.0,C240650537,246974.3
C402808045,0.0,C1318822808,80469.0
C332365138,0.0,C392292416,915902.37
C977160959,0.0,C248609774,740675.45
C1563053805,0.0,C985934102,1259119.8
C1464177809,0.0,C1170794006,1652668.12
C1057507014,0.0,C1590550415,12394437.4
C2007599722,0.0,C1590550415,14939915.42
C2029780820,0.0,C1170794006,3131440.16
C65080774,0.0,C747464370,834457.23
C2116179210,0.0,C1170794006,4114919.82
C1172535934,0.0,C564160838,1141158.73
C1648700617,0.0,C932583850,373058.79
C1765900922,0.0,C985934102,2187842.49
C94830685,0.0,C248609774,1179112.54
C1539947037,0.0,C1870252780,179614.1
C270661321,666.0,M1964434661,0.0
C1217312754,873.0,M1585571244,0.0
C1099552523,11129.0,M66724371,0.0
C1047934137,20034.0,C1286084959,1427960.73
C1862994526,0.0,C1688019098,608932.17
C1614133563,143236.26,C2083562754,719678.38
C839771540,371688.15,C2001112025,49003.3
C1037163664,407590.65,C33524623,1172672.27
C180316302,640544.28,C1330106945,104198.26
C1200546947,706457.23,C1531333864,1247284.13
C443713699,899949.91,C488044861,143436.0
C695530017,960786.56,C564160838,1880271.66
C1493042329,1023111.71,C909295153,360950.61
C1751403001,1372752.22,C453211571,1356747.89
C1717433286,1508076.41,C401424608,1336470.16
C1756819670,1888091.55,C401424608,956455.03
C1078262677,2306779.82,C766572210,1477776.96
C178604517,2617803.34,C920011586,158858.48
C57624756,2769665.72,C1297685781,743792.14
C1543518287,2998375.78,C451111351,2897169.84
C998242313,3218806.87,C485041780,192776.92
C464872674,3401668.32,C1509514333,894141.72
C1659286984,3633549.82,C601893033,122487.0
C1064905627,3671620.98,C75457651,501093.89
C2072130509,3758738.27,C985934102,3170705.3
C1260440107,3873009.99,C1749186397,401926.25
C482307698,3946209.08,C985934102,3056433.58
C1793899405,4710982.07,C575335780,335711.51
C1765702,4817829.42,C1651855867,11274.0
C1302725372,4824116.71,C660143728,104408.0
C713898436,4849053.05,C100555887,66800.82
C632475595,4904890.21,C1100439041,237735.3
C1920305914,4968145.5,C357863579,207302.14
C263833514,5072751.28,C503195940,157376.0
C1278839936,5226912.1,C985934102,2291660.6
C2143739483,5484260.13,C401424608,537766.76
C565881091,5685333.94,C1761291320,172857.68
C1618984457,5738894.62,C1870252780,358867.35
C1621254922,6073129.01,C564160838,1817946.5
C702500163,6300464.17,C575335780,228864.16
C1574509514,6434890.26,C215145189,49974.0
C1087072654,6437533.71,C1750905143,471814.89
C864221358,6572510.82,C1282788025,80148.6
C1617174216,6597600.85,C824009085,184486.01
C1979080261,6744989.53,C392292416,971439.24
C1860886124,6962604.61,C747464370,1469965.2
C1250499735,7317899.11,C990398217,21024.0
C173791568,7330235.59,C1590550415,17000998.23
C1293462056,7679741.48,C1335050193,451065.09
C1966670937,7964926.82,C1359044626,1617722.17
C2002174925,8097880.27,C33524623,939718.63
C588449070,8312731.68,C11003494,60870.0
C735228558,8367720.25,C716157500,177707.91
C376725601,8430591.3,C1360767589,1166393.13
C1476235721,8491742.16,C1068824137,290276.03
C1828508781,8623151.43,C2083117811,42274.0
C1376017854,22195.0,M1732663543,0.0
C1552870927,20140.16,C985934102,2034312.57
C1448805967,333513.72,C1225616405,78256.1
C641882263,346803.59,C1568059495,70595.0
C1930837320,373873.7,C564160838,1590611.34
C1489193907,501828.4,C1297685781,515082.09
C1453606810,698859.44,C985934102,1720939.01
C1645624121,843226.08,C195600860,35100.09
C547923534,851191.57,C736709391,541942.24
C1660223291,974295.31,C1170794006,4963151.39
C379124840,1080930.07,C1023714065,1312918.22
C1157943921,1155863.3,C977993101,194026.33
C544966217,1276098.29,C1870252780,24632.95
C1706272858,1281862.28,C665576141,2887756.64
C882471736,1438784.65,C1096283470,362164.9
C1475192960,1601450.63,C1816757085,1601450.63
C727197178,1601450.63,C1100439041,174480.01
C1406253491,1744028.07,C85777802,49685.0
C749604930,1750943.45,C985934102,1576572.37
C373097727,1908051.46,C564160838,1462656.64
C2082509879,2131606.6,C1531333864,1053791.45
C576894497,2277937.72,C985934102,1419464.36
C2123533871,2419068.96,C1590550415,16651492.34
C16148478,2641780.43,C1335050193,165879.75
C2022689531,2726760.74,C1359044626,1484768.73
C1340848245,3355479.81,C1170794006,4856516.62
C635610193,3434765.61,C1454031203,59666.0
C379121284,3492575.42,C1511785794,156547.0
C281421502,3567618.59,C1297685781,318051.05
C50072771,3815815.51,C215145189,47330.55
C848097505,3834666.95,C1286084959,1801028.99
C1672598778,4238085.34,C451111351,2676738.75
C1122233828,4473650.15,C1068824137,158866.76
C538667887,4505975.39,C240650537,355417.92
C1967496309,4851323.08,C766572210,1166753.44
C406749219,5206823.33,C716157500,114836.85
C1173340685,5309829.12,C766572210,811253.19
C1045731788,5418633.09,C1209271652,260112.48
C1739267143,5678386.36,C985934102,1278333.12
C192456457,5912480.6,C1023714065,1237985.0
C817689537,6185786.33,C736709391,418838.5
C708613859,6372625.28,C451111351,2441173.94
C365625031,6565786.32,C1789550256,1202635.39
C1531200408,6718610.17,C1509514333,662260.23
C212963786,6810067.99,C1531333864,907460.33
C1123321137,7087875.47,C575335780,94438.08
C685934,7096554.61,C1854778591,40471.79
C2032909428,7098654.2,C1531333864,629652.85
C2031377754,7320347.28,C564160838,1239101.5
C523211332,7526444.93,C459857341,42211.0
C1280124872,7548829.13,C1435804085,79582.64
C1747053097,7622040.12,C757108857,390963.21
C864326906,7858787.73,C1749186397,328727.16
C1348115836,7865071.9,C1750905143,336837.78
C1972143064,7965270.68,C33524623,724867.22
C312168418,8125617.99,C75457651,413976.6
C95369743,8414890.75,C1860513229,101925.0
C26928827,8478080.0,C451111351,2248012.9
C278476563,10252.0,M1479909053,0.0
C615954678,30165.0,C811587677,1042.0
C1926180325,21779.0,M733461760,0.0
C1594039997,274658.0,M1323531427,0.0
C1170788511,11080.0,M1400973979,0.0
C347091104,8038.0,M1105416433,0.0
C1110195322,31009.0,M404947798,0.0
C226690498,10120.0,M1455204443,0.0
C1976602906,52594.0,M1978209605,0.0
C1624351535,9241.0,M1394356510,0.0
C582300198,5386.08,C1971489295,614566.02
C533415944,4469.0,M1919834117,0.0
C1086849943,66.14,C1182461167,158919.0
C1265053098,1904.0,M246003654,0.0
C235370598,14506.0,M248710794,0.0
C2083217543,741.0,M1073741635,0.0
C177104018,24376.0,C1123629720,222.0
C478139423,24932.0,C1032986144,21308.0
C997695567,530.0,C1282788025,55058.57
C2066892165,5039.0,C662736689,20018.0
C48305285,5037.0,M1625090026,0.0
C1714378342,9522.0,M265824587,0.0
C93798665,101018.0,M41092582,0.0
C519303080,5545.0,M1345265484,0.0
C1871680329,595.0,C1360767589,1105242.28
C1976166251,30848.0,M1950800085,0.0
C1547398254,891.0,M1337829755,0.0
C1979055448,0.0,C1740000325,359141.7
C934740803,0.0,C2083562754,491226.48
C812143047,1.0,M314364096,0.0
C1215951090,0.0,M1205559205,0.0
C894421232,35611.0,M1098986569,0.0
C1182311147,124703.85,C1540270363,20767.0
C1531182070,121524.14,M276869158,0.0
C1491860739,118643.46,M1527214863,0.0
C534753234,115582.92,M172699023,0.0
C231725600,114703.5,M1831882653,0.0
C259251414,111216.72,M1552400354,0.0
C803893384,89685.77,M1078566479,0.0
C1372422140,87259.46,M819245704,0.0
C1288108586,82149.35,M1089584667,0.0
C2054757222,81941.6,M1865201235,0.0
C348132918,63504.55,M1493988307,0.0
C1805443519,54813.86,M1636322481,0.0
C1978504976,49867.83,M1338368149,0.0
C1129869771,44435.75,M1620459733,0.0
C2044337856,36786.34,M435914790,0.0
C422409467,32843.16,M1273958371,0.0
C1659515968,882.0,C1629911510,59670.0
C664091267,0.0,M1433208870,0.0
C1724814719,0.0,M1437988306,0.0
C1543146693,129.0,M1718322084,0.0
C1956415355,18824.0,M251520863,0.0
C24039137,9045.19,C33524623,564519.9
C992086987,30295.0,M731243659,0.0
C1244867001,21820.0,M1037955032,0.0
C369805307,18961.11,M314562573,0.0
C1100109058,25828.0,M333693383,0.0
C1394010463,25743.78,C1590550415,16428780.87
C1057307776,23946.7,M1819038759,0.0
C1636588948,18913.68,C2050019814,105223.0
C95685867,21064.0,M331596257,0.0
C494953170,102631.0,M509864971,0.0
C999647352,20125.0,M911501858,0.0
C677120200,15593.45,M694069884,0.0
C957923719,12595.25,M747158012,0.0
C1692073709,3325.26,M948675904,0.0
C1197498159,2115.61,M785271142,0.0
C500230084,816.91,M2023026843,0.0
C1028145537,0.0,M1628551735,0.0
C2078641942,0.0,M606775513,0.0
C1527882132,0.0,M935160003,0.0
C1626852381,0.0,M300604602,0.0
C1193398802,0.0,M453398853,0.0
C1171255580,0.0,M34073107,0.0
C1275009283,0.0,M1658512704,0.0
C1478995734,0.0,M1699578227,0.0
C1456061400,0.0,M1661777060,0.0
C104261836,0.0,M259630944,0.0
C351656492,0.0,M316335490,0.0
C597364637,0.0,M1637613097,0.0
C1527086220,0.0,M515273883,0.0
C1697281847,0.0,M1535026957,0.0
C737104370,0.0,M105966264,0.0
C821405322,0.0,M505231702,0.0
C1328323494,14112.8,M1311292881,0.0
C1408533352,13490.65,M617928649,0.0
C252615006,6996.1,M79919963,0.0
C1943750504,938.3,M1907604549,0.0
C176955204,0.0,M353023213,0.0
C1011044643,39699.0,C451111351,2051287.58
C1358857082,80899.44,M979550238,0.0
C2056234595,72521.43,M1558395480,0.0
C2023917549,12998.0,M1416415959,0.0
C1398260359,136555.0,M371397455,0.0
C2052223881,131622.46,C614685048,144605.0
C1213871206,197036.35,C434091818,167719.89
C628392976,295596.43,C832279283,33340.0
C725832346,310651.04,C985934102,1044238.89
C1113895488,472283.2,C1359044626,856049.65
C1527007086,519812.39,C838411509,32204.0
C1523649562,529389.85,C1359044626,808520.46
C1807176280,943628.44,C451111351,2063442.28
C203819996,1032956.09,C1262822392,8633995.76
C1977618945,1227856.25,C1360767589,1381702.9
C662925691,1252326.68,C476800120,347373.26
C1995952705,1469995.06,C1182461167,306723.02
C1244880808,1479062.57,C476402209,401493.73
C1060519157,1815890.48,C2096057945,99578.86
C58890945,1861208.43,C1170794006,4777230.82
C1269773610,2091229.45,C564160838,1033003.86
C464649704,2245807.73,C1509514333,570802.41
C367967231,2559941.74,C453211571,1221423.7
C36531985,2766347.65,C1816757085,8674805.32
C815336475,2925342.94,C766572210,702449.21
C609483101,3113581.47,C1381128261,52109.0
C1149407083,3134837.27,C1688019098,465695.91
C767436045,3340793.04,C1590550415,16656258.88
C1430199669,3519163.4,C673068808,59693.0
C1847431070,3561711.36,C1262822392,8439095.6
C1043639521,3576863.51,C1225616405,64966.23
C1660837991,3616113.18,C1234776885,533625.81
C1325866488,3717782.35,C2083562754,686540.82
C1306794745,3799476.47,C1256728724,104323.0
C1454171136,3809743.17,C1832580921,41159.0
C1195396074,3845245.42,C736709391,231999.55
C811562535,4028495.42,C451111351,1974114.63
C1560379655,4247715.63,C1509514333,256668.41
C1824322115,4502611.13,C1170794006,4547209.8
C702999333,4645760.1,C1262822392,8423943.45
C1648582256,4778217.62,C766572210,514210.68
C865858182,4927051.9,C665576141,2730834.27
C951988316,5033779.71,C1359044626,394281.87
C647973805,5256903.42,C33524623,1127423.71
C1591161296,5451214.77,C766572210,365376.39
C842331982,5790179.68,C1262822392,8291485.93
C2076249476,6037755.07,C1749186397,322442.98
C660595570,6067222.09,C1590550415,16477888.52
C1088491512,6157562.25,C1023714065,964679.26
C1434066477,6356409.58,C1971489295,1035098.36
C648315947,6511484.99,C1023714065,765831.94
C2117642238,6588417.88,C796533847,111367.94
C913242382,6681389.66,C146305349,64966.0
C870322840,6688712.64,C1286084959,1397610.6
C837246227,6910839.59,C1740000325,454778.18
C173738886,6973823.5,C932583850,697456.73
C1262237002,6975095.27,C33524623,933112.37
C2029754983,7221911.92,C747464370,1114670.7
C1946111918,7243810.89,C22805895,152178.0
C564817260,7274622.45,C564160838,878425.58
C194415222,7374897.54,C2083562754,604846.71
C798622145,7421528.07,C1023714065,688899.05
C638695843,7580303.64,C288665596,186372.86
C1411543296,7670859.72,C1740000325,391794.27
C1800967368,7844808.61,C97730845,117785.88
C338887787,7911025.32,C747464370,1092771.73
C1061448687,8127159.31,C1971489295,880022.94
C2015999862,8499043.13,C1883840933,8499043.13
C1467515503,8499043.13,C20671747,136084.66
C1533330615,8570318.6,C1789550256,1049811.54
C1197721383,8906617.38,C1286084959,1175483.65
C1917082298,9224010.75,C1749186397,292975.96
C1639765351,9405012.76,C1789550256,713512.77
C478209179,9716462.14,C1816757085,8515810.04
C1166230227,80983.0,M365056339,0.0
C307411297,1015017.79,M166536076,0.0
C1445424568,1011466.31,C1023714065,530123.48
C1374217958,783697.68,C33524623,686295.71
C1459016715,48005.0,M912747546,0.0
C1530957251,20987.0,M1292472219,0.0
C767511741,139428.0,C20671747,64809.18
C548795052,64665.82,C240650537,10070.22
C2143571436,61553.96,M2117099736,0.0
